Index,Title,Year,Synopsis,Image Filename,URL
135,The Sisters Brothers,2018,"From acclaimed director Jacques Audiard (Rust and Bone, A Prophet), and based on the novel by Patrick deWitt, THE SISTERS",the_sisters_brothers.jpg,https://www.rottentomatoes.com/m/the_sisters_brothers/
136,Notes on a Scandal,2006,"Two women, caught up in a drama of need and betrayal, are at the heart of the psychological thriller ""Notes",notes_on_a_scandal.jpg,https://www.rottentomatoes.com/m/notes_on_a_scandal/
137,The Skeleton Twins,2014,"When estranged twins Maggie (Kristen Wiig) and Milo (Bill Hader) feel they're at the end of their ropes, an unexpected",the_skeleton_twins.jpg,https://www.rottentomatoes.com/m/the_skeleton_twins/
138,Non-Fiction (Doubles vies),2019,"Juliette Binoche and Guillame Canet reunite with acclaimed director Olivier Assayas for this wry, slyly seductive tale of sex, lies,",non_fiction.jpg,https://www.rottentomatoes.com/m/non_fiction/
139,What They Had,2018,"From first-time writer/director Elizabeth Chomko, WHAT THEY HAD centers on a family in crisis. Bridget (Hilary Swank) returns home to",what_they_had.jpg,https://www.rottentomatoes.com/m/what_they_had/
140,Megan Leavey,2017,MEGAN LEAVEY is based on the true life story of a young marine corporal (Kate Mara) whose unique discipline and,megan_leavey.jpg,https://www.rottentomatoes.com/m/megan_leavey/
141,A Brilliant Young Mind,2015,This heart-warming and life-affirming story follows the unconventional and hilarious relationship between student and teacher - whose roles are often,a_brilliant_young_mind.jpg,https://www.rottentomatoes.com/m/a_brilliant_young_mind/
142,Swingers,1996,"An ensemble comedy about five guys, all in their 20s, all coping with the mysteries of life and women, set",swingers.jpg,https://www.rottentomatoes.com/m/swingers/
143,Star Trek II: The Wrath of Khan,1982,Star Trek II: The Wrath of Khan is fondly regarded as being the closest in spirit to the 1966-69 TV,star_trek_ii_the_wrath_of_khan.jpg,https://www.rottentomatoes.com/m/star_trek_ii_the_wrath_of_khan/
144,Depraved,2019,The legend of Frankenstein gets a provocative modern update in the stylishly disturbing new film from indie horror master Larry,depraved.jpg,https://www.rottentomatoes.com/m/depraved/
145,Ballet 422,2015,"Cinematographer and documentarian Jody Lee Lipes crafts an intimate, fly-on-the-wall documentary offering a rare peek into the highly-guarded world of",ballet_422.jpg,https://www.rottentomatoes.com/m/ballet_422/
146,The Nightingale,2019,THE NIGHTINGALE is a meditation on the consequences of violence and the price of seeking vengeance. Set during the colonization,the_nightingale_2019.jpg,https://www.rottentomatoes.com/m/the_nightingale_2019/
147,Ingrid Goes West,2017,"Ingrid Thorburn (Aubrey Plaza) is an unhinged social media stalker with a history of confusing ""likes"" for meaningful relationships. Taylor",ingrid_goes_west.jpg,https://www.rottentomatoes.com/m/ingrid_goes_west/
148,Professor Marston & The Wonder Women,2017,"In a superhero origin tale unlike any other, the film is the incredible true story of what inspired Harvard psychologist",professor_marston_and_the_wonder_women.jpg,https://www.rottentomatoes.com/m/professor_marston_and_the_wonder_women/
149,The Wolfpack,2015,"Locked away from society in an apartment on the Lower East Side of Manhattan, the Angulo brothers learn about the",the_wolfpack.jpg,https://www.rottentomatoes.com/m/the_wolfpack/
150,Let the Sunshine In (Un beau soleil intérieur),2018,"Juliette Binoche delivers a luminous performance in the deliciously witty, sensuously romantic new film from acclaimed director Claire Denis (White",let_the_sunshine_in.jpg,https://www.rottentomatoes.com/m/let_the_sunshine_in/
151,Meek's Cutoff,2011,"The year is 1845, the earliest days of the Oregon Trail, and a wagon train of three families has hired",meeks_cutoff.jpg,https://www.rottentomatoes.com/m/meeks_cutoff/
152,Blade of the Immortal (Mugen no jûnin),2017,"Samurai Manji has taken a lot of lives, both innocent and guilty, and now lives life in feudal Japan as",blade_of_the_immortal.jpg,https://www.rottentomatoes.com/m/blade_of_the_immortal/
153,The Graduate,1967,"""One word: plastics."" ""Are you here for an affair?"" These lines and others became cultural touchstones, as 1960s youth rebellion",graduate.jpg,https://www.rottentomatoes.com/m/graduate/
154,Grace Jones: Bloodlight and Bami,2018,This electrifying journey through the public and private worlds of pop culture mega-icon Grace Jones contrasts musical sequences with intimate,grace_jones_bloodlight_and_bami.jpg,https://www.rottentomatoes.com/m/grace_jones_bloodlight_and_bami/
155,Monsters and Men,2018,"One night, in front of a bodega in Brooklyn's Bed-Stuy neighborhood, Manny Ortega witnesses a white police officer wrongfully gun",monsters_and_men.jpg,https://www.rottentomatoes.com/m/monsters_and_men/
156,The Gospel According to André,2018,André Leon Talley has been a fixture in the world of fashion for so long that it's difficult to imagine,the_gospel_according_to_andre.jpg,https://www.rottentomatoes.com/m/the_gospel_according_to_andre/
157,M*A*S*H,1970,"Although he was not the first choice to direct it, the hit black comedy MASH established Robert Altman as one",mash.jpg,https://www.rottentomatoes.com/m/mash/
